ATTR_DATA_ID,OBJ_ID,VER_NBR,PERM_ID,KIM_TYP_ID,KIM_ATTR_DEFN_ID,ATTR_VAL
OLESYS6007-2,OLESYS6007-2,1,OLESYS6007,14,10,immediateDisbursementEntryMode
OLEMI6886-AT1,OLEMI6886-AT1,1,OLEMI6886-PRM1,56,13,OLE_PAAT
OLEMI6886-AT2,OLEMI6886-AT2,1,OLEMI6886-PRM1,56,7,false
OLEMI6886-AT3,OLEMI6886-AT3,1,OLEMI6886-PRM2,10,5,PayeeACHAccount
OLEMI6886-AT4,OLEMI6886-AT4,1,OLEMI6886-PRM2,10,4,OLE-PDP
OLEMI6886-AT5,OLEMI6886-AT5,1,OLEMI6886-PRM3,3,13,OLE_PAAT
OLECNTRB162-AT1,OLECNTRB162-AT1,1,OLECNTRB162-PRM,15,1,vendorExcludeInputFileType
OLECNTRB199-PATD,OLECNTRB199-PATD,1,OLECNTRB199-P1,15,1,semaphoreInputFileTypeError
OLECNTRB199-PAD2,OLECNTRB199-PAD2,1,OLECNTRB199-P2,OLECNTRB199-TYP1,4,OLE-SYS
OLECNTRB199-PAD3,OLECNTRB199-PAD3,1,OLECNTRB199-P2,OLECNTRB199-TYP1,OLECNTRB199-ATTRDEF1,staging/sys/batchContainer/*
OLEMI8342-PRMATT1,OLEMI8342-PRMATT1,1,OLEMI8342-PRM,57,44,indirectCostRecoveryAccounts
OLEMI8342-PRMATT2,OLEMI8342-PRMATT2,1,OLEMI8342-PRM,57,5,SubAccount
OLEMI8944-PRMATT1,OLEMI8944-PRMATT1,1,OLEMI8944-PRM,52,6,items.sourceAccountingLines
OLEMI8944-PRMATT2,OLEMI8944-PRMATT2,1,OLEMI8944-PRM,52,16,Tax
OLEMI8944-PRMATT3,OLEMI8944-PRMATT3,1,OLEMI8944-PRM,52,13,OLE_PUR
OLEMI8893-PRM1ATT1,OLEMI8893-PRM1ATT1,1,OLEMI8893-PRM1,8,13,OLEFinancialProcessingTransactionalDocument
OLEMI8893-PRM2ATT1,OLEMI8893-PRM2ATT1,1,OLEMI8893-PRM2,8,13,OLE
