PERM_ID,OBJ_ID,VER_NBR,PERM_TMPL_ID,NMSPC_CD,NM,DESC_TXT,ACTV_IND
OLE10156,1028,1,10,OLE-CAT,Initiate Instance Item Type Document,Initiate Instance Item Type Document,Y
OLE10157,1029,1,10,OLE-CAT,Initiate Specific Retention Policy Type Unit Document,Initiate Specific Retention Policy Type Unit Document,Y
OLE10158,1030,1,10,OLE-CAT,Initiate Source Of Term Document,Initiate Source Of Term Document,Y
OLE10159,1031,1,10,OLE-CAT,Initiate Notation Type Document,Initiate Notation Type Document,Y
OLE10160,1032,1,10,OLE-CAT,Initiate Privacy Document,Initiate Privacy Document,Y
OLE10161,1033,1,10,OLE-CAT,Initiate Receipt Status Document,Initiate Receipt Status Document,Y
OLE10162,1034,1,10,OLE-CAT,Initiate ELARelatioshipDocument Document,Initiate ELARelatioshipDocument Document,Y
OLE10163,1035,1,10,OLE-CAT,Initiate EncodingLevelDocument Document,Initiate EncodingLevelDocument Document,Y
OLE10164,1036,1,10,OLE-CAT,Initiate FieldEncodingLevelDocument Document,Initiate FieldEncodingLevelDocument Document,Y
OLE10165,1037,1,10,OLE-CAT,Initiate GeneralRetentionPolicyDocument Document,Initiate GeneralRetentionPolicyDocument Document,Y
OLE10166,1038,1,10,OLE-CAT,Initiate Statistical Searching Codes Document,Initiate Statistical Searching Codes Document,Y
OLE10167,1039,1,10,OLE-CAT,Initiate Type Of Ownership Document,Initiate Type Of Ownership Document,Y
OLE10168,1040,1,10,OLE-CAT,Initiate Reproduction Policy Document,Initiate Reproduction Policy Document,Y
OLE10169,OLE1001,1,10,OLE-LIC,Initiate Checklist Document,Initiate Checklist Document,Y
OLE10170,OLE1002,1,16,OLE-LIC,Edit Checklist Document,Edit Checklist Document,Y
OLE10171,OLE1003,1,10,OLE-LIC,Initiate License Request Status Document,Initiate License Request Status Document,Y
OLE10172,OLE1004,1,16,OLE-LIC,Edit License Request Status Document,Edit License Request Status Document,Y
OLE10173,OLE1005,1,10,OLE-LIC,Initiate Current Location Document,Initiate Current Location Document,Y
OLE10174,OLE1006,1,16,OLE-LIC,Edit Current Location Document,Edit Current Location Document,Y
OLE10175,OLE1007,1,10,OLE-LIC,Initiate License Request Type Document,Initiate License Request Type Document,Y
OLE10176,OLE1008,1,16,OLE-LIC,Edit License Request Type Document,Edit License Request Type Document,Y
OLE10177,OLE1009,1,10,OLE-LIC,Initiate Agreement DocType Document,Initiate Agreement DocType Document,Y
OLE10178,OLE1010,1,16,OLE-LIC,Edit Agreement DocType Document,Edit Agreement DocType Document,Y
OLE10179,OLE1011,1,10,OLE-LIC,Initiate Agreement Method Document,Initiate Agreement Method Document,Y
OLE10180,OLE1012,1,16,OLE-LIC,Edit Agreement Method Document,Edit Agreement Method Document,Y
OLE10181,OLE1013,1,10,OLE-LIC,Initiate Agreement Status Document,Initiate Agreement Status Document,Y
OLE10182,OLE1014,1,16,OLE-LIC,Edit Agreement Status Document,Edit Agreement Status Document,Y
OLE10183,OLE1015,1,10,OLE-LIC,Initiate Agreement Type Document,Initiate Agreement Type Document,Y
